Date,Total credit,Credit per day
2015-04-08,9021619847972,31171195798
2015-04-09,9052041735798,30421887826
2015-04-10,9081911049082,29869313284
2015-04-11,9113479516327,31568467245
2015-04-12,9144646288654,31166772327
2015-04-13,9172414399695,27768111041
2015-04-14,9204593545048,32179145353
2015-04-15,9236040852572,31447307524
2015-04-16,9267302930854,31262078282
2015-04-17,9299978509000,32675578146
2015-04-18,9332889290963,32910781963
2015-04-19,9366572459734,33683168771
2015-04-20,9399236207664,32663747930
2015-04-21,9432595556581,33359348917
2015-04-22,9467291749746,34696193165
2015-04-23,9500932969318,33641219572
2015-04-24,9533836993643,32904024325
2015-04-25,9566496012081,32659018438
2015-04-26,9597904307047,31408294966
2015-04-27,9629827488535,31923181488
2015-04-28,9663659658719,33832170184
2015-04-29,9698903919493,35244260774
2015-04-30,9732331333547,33427414054
2015-05-01,9766411607448,34080273901
2015-05-16,10213665250816,
2015-05-17,10245469544561,31804293745
2015-05-18,10383274619220,
2015-05-19,10417333235942,34058616722
2015-05-30,10674955398348,
2015-05-31,10705343023405,30387625057
2015-06-01,10736216309572,30873286167
2015-06-02,10767179444556,30963134984
2015-06-03,10797731403057,30551958500
2015-06-04,10829515182947,31783779891
2015-06-05,10862269518184,32754335236
2015-06-06,10895771032120,33501513936
2015-06-07,10928413585314,32642553195
2015-06-08,10960866809055,32453223741
2015-06-09,10990251240324,29384431269
2015-06-10,11021857844833,31606604509
2015-06-11,11049394853297,27537008464
2015-06-12,11078561386384,29166533087
2015-06-13,11109111747945,30550361561
2015-06-14,11140095287354,30983539409
2015-06-15,11171331056951,31235769596
2015-06-16,11200993768383,29662711433
2015-06-17,11231739413050,30745644667
2015-06-18,11261187206220,29447793169
2015-06-19,11290454964170,29267757950
2015-06-20,11320853752024,30398787854
2015-06-21,11351866403096,31012651072
2015-06-22,11381284695441,29418292345
2015-06-23,11411654894618,30370199176
2015-06-24,11437956718328,26301823711
2015-06-25,11465645635144,27688916815
2015-06-26,11489606562719,23960927576
2015-06-27,11510193965451,20587402732
2015-06-28,11527807470257,17613504806
2015-06-29,11543191368044,15383897787
2015-06-30,11560220551043,17029182999
2015-07-01,11583668073008,23447521965
2015-07-02,11609223014169,25554941161
2015-07-03,11637158602320,27935588151
2015-07-04,11667535319115,30376716794
2015-07-05,11695887299103,28351979989
2015-07-06,11722775526427,26888227324
2015-07-07,11750889478310,28113951883
2015-07-08,11782181073946,31291595636
2015-07-09,11813108938473,30927864528
2015-07-19,12131444189809,
2015-07-20,12156800168188,25355978379
2015-07-29,12379145055656,
2015-07-30,12408165082106,29020026450
2015-07-31,12437513833534,29348751428
2015-08-01,12466256360772,28742527237
2015-08-02,12492954434756,26698073984
2015-08-03,12519924771275,26970336519
2015-08-03,12519924771275,26970336519
2015-08-04,12547624082147,27699310872
2015-08-04,12547624082147,27699310872
2015-08-05,12578611091049,30987008902
2015-08-05,12578611091049,30987008902
2015-08-06,12607191902219,28580811170
2015-08-06,12607191902219,28580811170
2015-08-07,12635087573319,27895671100
2015-08-07,12635087573319,27895671100
2015-08-08,12662575515958,27487942639
2015-08-08,12662575515958,27487942639
2015-08-09,12692197461453,29621945495
2015-08-09,12692197461453,29621945495
2015-08-10,12720528200444,28330738992
2015-08-10,12720528200444,28330738992
2015-08-11,12750493965424,29965764979
2015-08-11,12750493965424,29965764979
2015-08-12,12780795494691,30301529268
2015-08-12,12780795494691,30301529268
2015-08-13,12810279104531,29483609840
2015-08-13,12810279104531,29483609840
2015-08-14,12839353513244,29074408714
2015-08-14,12839353513244,29074408714
2015-08-15,12866724409420,27370896175
2015-08-15,12866724409420,27370896175
2015-08-16,12894562466308,27838056889
2015-08-16,12894562466308,27838056889
2015-08-17,12922819259359,28256793051
2015-08-17,12922819259359,28256793051
2015-08-18,12948252331501,25433072142
2015-08-18,12948252331501,25433072142
2015-08-19,12975132958758,26880627258
2015-08-19,12975132958758,26880627258
2015-08-20,13003707023555,28574064796
2015-08-20,13003707023555,28574064796
2015-08-21,13031031627333,27324603779
2015-08-21,13031031627333,27324603779
2015-08-22,13058826445299,27794817965
2015-08-23,13085623769363,26797324065
2015-08-24,13111226725973,25602956610
2015-08-24,13111226725973,25602956610
2015-08-25,13137013128535,25786402563
2015-08-26,13163364682883,26351554348
2015-08-26,13163364682883,26351554348
2015-08-27,13188997016436,25632333553
2015-08-27,13188997016436,25632333553
2015-08-28,13212711830409,23714813973
2015-08-28,13212711830409,23714813973
2015-08-29,13237195123150,24483292741
2015-08-29,13237195123150,24483292741
2015-08-30,13261695028202,24499905053
2015-08-30,13261695028202,24499905053
2015-08-31,13286561076098,24866047896
2015-08-31,13286561076098,24866047896
2015-09-01,13310657535505,24096459407
2015-09-01,13310657535505,24096459407
2015-09-02,13334868234451,24210698946
2015-09-02,13334868234451,24210698946
2015-09-03,13360228485803,25360251353
2015-09-03,13360228485803,25360251353
2015-09-04,13385906673165,25678187362
2015-09-04,13385906673165,25678187362
2015-09-05,13413174819211,27268146046
2015-09-05,13413174819211,27268146046
2015-09-06,13438507009904,25332190693
2015-09-06,13438507009904,25332190693
2015-09-07,13461363611378,22856601474
2015-09-07,13461363611378,22856601474
2015-09-08,13484070115645,22706504267
2015-09-09,13506366590810,22296475165
2015-09-10,13528327126764,21960535954
2015-09-11,13551445227132,23118100367
2015-09-18,13703016495233,
2015-09-19,13729056066780,26039571547
2015-10-07,14166962033966,
2015-10-08,14193687089527,26725055561
2015-10-10,14272753649944,
2015-10-11,14298604236710,25850586766
2015-10-18,14471427762347,
2015-10-19,14499049547796,27621785449
2015-10-24,14647411932694,
2015-10-25,14676569511449,29157578755
2015-10-28,14798806121504,
2015-10-29,14829188478851,30382357347
2015-11-09,15220479119768,
2015-11-10,15263588063050,43108943282
2015-11-11,15314146890934,50558827885
2015-11-12,15377431186696,63284295761
2015-11-13,15410152767048,32721580352
2015-11-14,15289322717282,-120830049766
2015-11-15,15326905548194,37582830912
2015-11-16,15364593478605,37687930411
2015-11-17,15401970256523,37376777918
2015-11-18,15436983172587,35012916064
2015-11-19,15465839528188,28856355601
2015-11-20,15495725967038,29886438851
